Title,Name,Region,Address,Town,Postcode,Telephone,Email,Contact first name,Contact last name,Description,Access,Cost,Website address,Sector,Sector - other
NO BARRIERS,Isle of Wight Council,S.W. England,"Adult and Community Services,,Town Hall,,Lind Street,,Ryde,,Isle of Wight.",Ryde,PO36 0NB,01983 566011,Jan.Taylor@iow.gov.uk,Jan,Taylor,"Provides support for learning disabled adults who are seeking employment opportunities, work experience and voluntary work.
No Barriers offers vocational guidance, job coaching and ongoing support to service users and their employers.",adult,No,,Employment Services,
Positive Futures,Positive Futures Team,Midlands,"Positive Futures Team,c/o NVAC,7 Mansfield Road,Nottingham",Nottingham,NG1 3FB,0115 9349566,info@pfhlc.org.uk,Julie,Hilton,We are a partnership organisation supporting adults with learning difficulties in Nottingham. Our Go! Team supports adults with learning difficulties to join in community activities. Our worker from Circles Network does person centered planning and develops circles of support. The Easy Information service provides information in appropriate formats and can design accessible information for other organisations. The Positive Image Worker provides training to schoolchildren and works to tackle bullying. Learning disability awareness training is offered to volunteers and to other organisations.,adult,Free to join. Small charges for some activities,www.positivefutures.me.uk,Support Service,
Psychology Services,PACS UK Ltd,All of UK,"Meikle Wartle,Inverurie,AB51 5DE,Scotland",Inverurie,AB51 5DE,0870 787 7548,PACSUKLtd@aol.com,Dr. Bruce,Lawrie,"Psychological assessment, treatment planning, psychotherapy, counselling, programme development service provided for children, adolescents, adults, and families for a wide range of educational and health concerns, including:
 
Depression and mood problems;
Anxiety;
Stress;
Anger Management;
Coping with life-changes;
Phobias;
Panic;
Excessive worry;
Psychological impact of traumatic experiences;
Obsessions and compulsions;
Child health problems such as obesity and toileting problems;
Chronic pain;
Insomnia;
Sleep difficulties;
Personal and family problems;
Memory problems;
Relationship difficulties;
Marriage counselling;
Autism;
Diagnosis, assessment, educational & behavioural management programmes;
Learning Disabilities;
Assessment and programs designed;
Forensic;
Risk assessment and therapy with offenders;
Challenging Behaviour;
Assessment & behavioural management programmes;
Attention Deficit Hyperactivity Disorder;
Assessment and behaviour management programs;
Family Assessments;
Parenting; Fostering;
Kinship Caring;
Family Reunification;
Therapy/Counselling.",all,yes,,Psychology,
Jo Hogg,Consultant,All of UK,Churchill,North Somerset,BS25 5NT,01934 852042,tonyandjohogg@aol.com,Jo,Hogg,"Consultancy - supported living, employment, advocacy, service user involvement, community connections, service reviews and research.",adult,£250-£300 per day,,Advice,Consultancy
Care Co-ordination Network UK,Care Co-ordination Network UK,All of UK,"Care Co-ordination Network UK,Social Policy Research Unit,University of York,Heslington",York,YO10 5DD,01904 312959,info@ccnuk.org.uk,Caz,Byrne,"Care Co-ordination Network UK is an umbrella organisation promoting and supporting care co-ordination or key working for disabled children and their families in England, Northern Ireland, Scotland and Wales. CCNUK is an independent registered charity based at the Social Policy Research Unit at the University of York.

Our purpose is to work in partnership with disabled children, their families and professionals, to ensure that all families across the UK have access to high quality care co-ordination.",all,Free for parents/carers. mem fees vary. information on request,www.ccnuk.org.uk,Advice,
Psychology Consultancy,The Psychology Consultancy (UK) Ltd,All of England,"South Kiln,Felaw Maltings,44 Felaw Street",Ipswich,IP2 8SJ,01473 407000,info@psy-consultancy.net,Naas,Oelofsen,"We provide an independent clinical psychology service, including assessment, intervention, and training for people with learning disabilities and autistic specrum disorder. We are able to conduct diagnostic assessments for autism in adults and older children. Access to speech and language therapy.",all,Rates available on request,www.psy-consultancy.co.uk,Psychology,Assessment / Training
Holiday Cottages and Bed and Breakfast,Kingfisher Barn Limited,All of UK,"Kingfisher Barn limited,Rye Farm",Abingdon,OX14 3NN,01235 537538,info@kingfisherbarn.com,Sarah,Jefferies,"We have 6 holiday cottages that have been designed with disabled clients in mind. There is ceiling tracking in bedrooms and bathrooms for the use of a mobile hoist,wider doors & grab rails. Sleeping from 2 - 10.
We also have 10 bed & breakfast rooms, 2 of which are wheelchair accessible with walk in showers. Our heated indoor pool has the hoist facility & a dipper in/out the pool.
Hoists, slings, cotsides,commodes & shower chairs are available or hire free of charge whilst your here.",all,Yes,www.kingfisherbarn.com,Tourism,
"BARE Project for Assessment, Recording and Reporting",Plymouth and Bristol Bare Project Team,All of UK,"Woodlands School,Bodmin Road,",Plymouth,PL5 4DZ,1752300101,ahemmens@woodlands.plymouth.sch.uk,Andrea,Hemmens,"The BARE Project is software for recording pupil achievements on P Scales,  National Curriculum to L5,  QCA Emotional and behavioural scales and early years.  It is an easy to use programme that allows you keep all your records on a pupil in one place. It is free to schools.  We are currently re-writing it on a different platform which run as a not-for-profit subscription service next year to secure future development. Free download for stand alone or networks from our website.",adult,Free,www.recordingandassessment.co.uk,Assessment,
KIDS,KIDS West Midlands,Midlands,"KIDS West Midlands,249 Birmingham Road,Wylde Green,Sutton Coldfield,West Midlands,B72 1EA",Sutton Coldfield,B72 1EA,0121 355 2707,enquiries@kids-westmidlands.org.uk,Melanie,Anderson,"Provides support to parents, carers and families who have children and young people with disabilities or special needs.  Our services are designed to help children and young people up to 19yrs of age develop their skills and abilities and help them to participate fully in leisure activities and access the education they deserve. Our services include : Disability Resource Centre, Outreach, Portage, SureStart, Playschemes, Information and Support, Clubs and Workshops, Respite care caravan, Out and About, Regional Consultative Forum.  All services are developed in partnership with parents, carers and the children and young people themselves.",all,Dependent upon service,www.kids-online.org.uk,Charities,
Parent Network (ParNet),Cerebra,All of UK,13 Guildhall Square,Carmarthen,SA31 1PR,01267 244200,info@cerebra.org.uk,Sarah,Larkin,"Information and advice to parents of chidren with brain related conditions.  Grant scheme. Postal lending library including books, media and multisensory equipment.  Construct a Personal Portfolio for a child. Counselling service. Legal service. Factsheets.  Parents' contact service. Quarterly newsletter. Participation in research projects.",adult,No,www.cerebra.org.uk,Parents' Support Services,
Moving into the Mainstream Project,Centre 404,London,"Moving into the Mainstream Project,Learning and Leisure Department,Centre 404,404 Camden Road,Islington",London,N7 0SJ,0207 697 1323,katee@centre404.org.uk,Kate,Edwards,"Centre 404's 'Moving into the Mainstream' project aims to support adults with learning difficulties from the Islington area to access mainstream services such as colleges, jobs, evening classes and sports activities. We run a weekly drop-in on Tuesdays between 1-3pm during which representatives from local organisations come to talk about the services they offer. We also work one to one with service users, talking to them about their interests and researching local activites they might be interested in. The project offers members the chance to try out a wide-range of different things, and support to join in those they are interested in attending regularly. There are volunteering opportunities available for anyone interested in working on the project.",adult,Free,www.centre404.org.uk,Education,
Keytools Computer Access,Keytools Ltd,All of UK,"4-5 Carlton Commerce Centre,Portswood,Southampton,SO17 1LQ",Southampton,SO17 1LQ,023 8058 4314,info@keytools.com,John,Niven,All kinds of hardware for enhancing or facilitating access to computers.  Software to aid sensory or cognitive challenges in compter use.  Other products for improving the healthy use of computers.,adult,yes,www.keytools.com,Computers & The Internet,
Dyslexia,South Cumbria Dyslexia Association,N.W. England,"The Basement,Alfred Barrow School,Duke Street,BARROW IN FURNESS,Cumbria",BARROW IN FURNESS,LA14 2LB,01229 820998,scuda.kendal@talk21.com,Dawn,Elsworth,"Advice and information for dyslexics and their families.  Assessments, courses and fun events for children",children,"For some services, eg assessments",scudauk.co.uk,Education,
